parkID,parkName,lat,lng,capacity,emptyCapacity,workHours,parkType,freeTime,district,isOpen
646,Fuat Paşa Caddesi 2,41.0129,28.966,40,40,07:00-18:00,YOL ÜSTÜ,0,FATİH,0
1701,Gazi Umur Paşa Sokak 2,41.0609,29.012,40,21,08:00-17:30,YOL ÜSTÜ,15,BEŞİKTAŞ,0
1705,Gazi Umur Paşa Sokak 6,41.0586,29.0109,42,42,08:00-17:30,YOL ÜSTÜ,15,BEŞİKTAŞ,0
2971,Gaziosmanpaşa Zemin Altı Otoparkı,41.0795,28.8854,285,0,24 Saat,KAPALI OTOPARK,0,GAZİOSMANPAŞA,1
203,Gonca Esnaf Önü 1,41.076,29.0167,23,14,08:00-18:00,YOL ÜSTÜ,15,BEŞİKTAŞ,0
205,Gonca Sokak 1,41.0761,29.017,16,16,08:00-18:00,YOL ÜSTÜ,15,BEŞİKTAŞ,0
2242,Gözdağı Sosyal Tesisler  Açık Otoparkı,40.8908,29.2532,300,287,24 Saat,AÇIK OTOPARK,15,PENDİK,1
1879,Gülsuyu Metro Yer Altı Otoparkı,40.9238,29.155,76,0,08:00-00:00,KAPALI OTOPARK,15,MALTEPE,1
3277,Gülsuyu Metro Yol Üstü 1,40.9236,29.1548,55,55,09:00-19:00,YOL ÜSTÜ,15,MALTEPE,0
3278,Gülsuyu Metro Yol Üstü 2,40.9233,29.1559,55,42,09:00-19:00,YOL ÜSTÜ,15,MALTEPE,0
1423,Güneş Plajı 1,40.9716,28.7904,250,241,24 Saat,AÇIK OTOPARK,10,BAKIRKÖY,1
1461,Güneş Plajı 2,40.9727,28.7869,135,125,08:00-20:00,AÇIK OTOPARK,10,BAKIRKÖY,0
1339,Güneş Sokak Çıkmazı 1,41.0869,29.0077,40,40,09:00-18:00,YOL ÜSTÜ,15,BEŞİKTAŞ,0
3053,Güngören Nikah Dairesi Zemin Altı otoparkı,41.0364,28.8719,147,0,24 Saat,KAPALI OTOPARK,5,GÜNGÖREN,1
1207,Güngören Sancaktepe Açık Otoparkı,41.0204,28.8869,100,99,08:00-19:00,AÇIK OTOPARK,0,GÜNGÖREN,0
2216,Gürpınar Balık Hali Otoparkı,40.9673,28.6021,1000,802,24 Saat,AÇIK OTOPARK,15,BEYLİKDÜZÜ,1
609,Güvenlik Caddesi 1,41.007,28.9567,35,35,08:00-17:00,YOL ÜSTÜ,0,FATİH,0
1278,Hacı Pervane Caddesi 1,41.0744,28.2478,35,29,09:00-17:00,YOL ÜSTÜ,15,SİLİVRİ,0
1279,Hacı Pervane Caddesi 2,41.0746,28.2472,35,25,09:00-17:00,YOL ÜSTÜ,15,SİLİVRİ,0
1525,Hacıosman Metro Yer Altı Otoparkı,41.1402,29.0305,422,203,24 Saat,KAPALI OTOPARK,15,SARIYER,1
226,Hakimiyet-i Milliye Caddesi 2,41.0225,29.016,25,16,08:00-18:00,YOL ÜSTÜ,15,ÜSKÜDAR,0
1470,Haldun Alagaş Katlı Otoparkı,41.0261,29.1051,197,162,24 Saat,KAPALI OTOPARK,15,ÜMRANİYE,1
2848,Halkalı Mahallesi Zemin Altı Otoparkı,41.0358,28.7848,347,33,24 Saat,KAPALI OTOPARK,15,KÜÇÜKÇEKMECE,1
2838,Hamidiye Mahallesi Katlı Otoparkı,41.0949,28.971,450,326,24 Saat,KAPALI OTOPARK,15,KAĞITHANE,1
1707,Harbiye Nizamiye Caddesi Yol Üstü Otoparkı 2,41.0573,29.0111,33,33,08:00-19:00,YOL ÜSTÜ,15,ŞİŞLİ,0
1446,Harbiye Zemin Altı Otoparkı,41.0405,28.9879,142,83,24 Saat,KAPALI OTOPARK,0,BEYOĞLU,1
824,Hasanpaşa Muhtarlık Açık Otoparkı,40.9974,29.0429,100,77,08:00-21:00,AÇIK OTOPARK,0,KADIKÖY,0
1481,Haseki Caddesi 1,41.0091,28.944,32,32,08:00-17:00,YOL ÜSTÜ,15,FATİH,0
2148,Hat Boyu Caddesi 1,40.8801,29.234,24,24,09:00-18:00,YOL ÜSTÜ,15,PENDİK,0
390,Haydar Aliyev Caddesi 1,41.1396,29.0578,23,5,09:00-20:00,YOL ÜSTÜ,15,SARIYER,0
391,Haydar Aliyev Caddesi 2,41.144,29.0552,27,26,09:00-20:00,YOL ÜSTÜ,15,SARIYER,0
392,Haydar Aliyev Caddesi 3,41.1487,29.0454,18,18,09:00-20:00,YOL ÜSTÜ,15,SARIYER,0
393,Haydar Aliyev Caddesi 4,41.1504,29.0434,40,28,09:00-20:00,YOL ÜSTÜ,15,SARIYER,0
2655,Haydar Aliyev Caddesi 5,41.1528,29.0412,48,37,09:00-20:00,YOL ÜSTÜ,15,SARIYER,0
2332,Haydarpaşa Katlı Otoparkı,41.0051,29.0255,840,696,24 Saat,KAPALI OTOPARK,15,ÜSKÜDAR,1
1987,Haznedar Yer Altı Otoparkı,41.0083,28.8729,540,0,24 Saat,KAPALI OTOPARK,0,GÜNGÖREN,1
377,Hızır Külhani Sokak,41.0202,28.9605,32,17,08:00-17:00,YOL ÜSTÜ,15,FATİH,0
1166,Hidiv Kasrı,41.1035,29.0755,150,137,09:00-21:00,AÇIK OTOPARK,15,BEYKOZ,0
924,Horhor Caddesi Üzeri Cep 1,41.0142,28.9519,40,18,07:00-17:00,YOL ÜSTÜ,15,FATİH,0
3173,Hürriyet Mahallesi Zeminaltı Otoparkı,41.0708,28.895,190,0,24 Saat,KAPALI OTOPARK,15,GAZİOSMANPAŞA,1
45,Hüsrev Gerede Sokak 1,41.0484,28.995,50,23,08:00-19:00,YOL ÜSTÜ,15,ŞİŞLİ,0
46,Hüsrev Gerede Sokak 2,41.0481,28.9954,70,70,08:00-19:00,YOL ÜSTÜ,15,ŞİŞLİ,0
154,Ihlamur Dere Caddesi 1,41.0438,29.0035,27,6,09:00-18:00,YOL ÜSTÜ,15,BEŞİKTAŞ,0
155,Ihlamur Dere Caddesi 2,41.0444,29.003,27,12,09:00-18:00,YOL ÜSTÜ,15,BEŞİKTAŞ,0
158,Ihlamur Dere Caddesi 5,41.0461,29.0026,27,2,09:00-18:00,YOL ÜSTÜ,15,BEŞİKTAŞ,0
159,Ihlamur Dere Caddesi 6,41.0464,29.0024,27,12,09:00-18:00,YOL ÜSTÜ,15,BEŞİKTAŞ,0
160,Ihlamur Dere Caddesi 7,41.047,29.0023,27,11,09:00-18:00,YOL ÜSTÜ,15,BEŞİKTAŞ,0
162,Ihlamur Dere Caddesi 9,41.0484,29.0022,27,19,09:00-18:00,YOL ÜSTÜ,15,BEŞİKTAŞ,0
